"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"268","RT @Space_NK: Slaai from @mydrunkelephant is an innovative cleansing balm that melts all traces of dirt, makeup and sunscreen from the skin…",FALSE,0,NA,2019-04-01 12:03:10,FALSE,NA,"1112686843655581696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mydrunkelephant",2,TRUE,FALSE,NA,NA
"269","Cleansing milk has a gentle formula, but very efficient, that is ideal for removing Make-up and impurities from you… https://t.co/HtUlEzZlBm",FALSE,1,NA,2019-04-01 11:59:53,TRUE,NA,"1112686014257135616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oudmilano_en",0,FALSE,FALSE,NA,NA
"270","Slaai from @mydrunkelephant is an innovative cleansing balm that melts all traces of dirt, makeup and sunscreen fro… https://t.co/XUm66CA4qT",FALSE,16,NA,2019-04-01 11:40:10,TRUE,NA,"1112681052269699074",NA,"<a href=""https://www.spredfast.com"" rel=""nofollow"">Spredfast</a>","Space_NK",2,FALSE,FALSE,NA,NA
"271","can we have Milk Makeup in every sephora store in the world like ok thanks love you",FALSE,4,NA,2019-04-01 10:24:41,FALSE,NA,"1112662059777314818",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","afierohim",0,FALSE,FALSE,NA,NA
"272","RT @glossyco: At a time when customers are demanding transparency more than ever, a handful of mainstream brands, from Kat Von D to Milk Ma…",FALSE,0,NA,2019-04-01 09:29:21,FALSE,NA,"1112648133874454528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeekChicSocial",1,TRUE,FALSE,NA,NA
"273","⁣⁣⁣Around the world, about 1/3 of adults can’t digest milk. They have developed 𝙡𝙖𝙘𝙩𝙖𝙨𝙚 𝙥𝙚𝙧𝙨𝙞𝙨𝙩𝙚𝙣𝙘𝙚.⁣⁣⁣ Children fr… https://t.co/sbFb7DQxWf",FALSE,1,NA,2019-04-01 07:49:48,TRUE,NA,"1112623080428503040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishtisChoice",0,FALSE,FALSE,NA,NA
"274","RT @quaintchild__: milk makeup &amp; colourpop have officially disassociated themselves with gothfruits! waiting for other brands to follow suit",FALSE,0,NA,2019-04-01 07:38:23,FALSE,NA,"1112620206273241089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilocaljen",17,TRUE,FALSE,NA,NA
"275","RT @babyspritee: Milk makeup: *drops @gothfruits*

Rin: ""IM *tries to look sad* SO SORRY uwu YOU DERSEBE TO HAVE A VOIUCE *in the backgroun…",FALSE,0,NA,2019-04-01 07:37:34,FALSE,NA,"1112620001889079296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilocaljen",15,TRUE,FALSE,NA,NA
"276","👍 on @YouTube: Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie Aina https://t.co/Liwa4w7yJW",FALSE,0,NA,2019-04-01 07:34:13,FALSE,NA,"1112619158070575105",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","photosbywesley",0,FALSE,FALSE,NA,NA
"277","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-04-01 07:29:53,FALSE,NA,"1112618068906139648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2005ediebel",9,TRUE,FALSE,NA,NA
"278","At a time when customers are demanding transparency more than ever, a handful of mainstream brands, from Kat Von D… https://t.co/kcBcou7e7r",FALSE,1,NA,2019-04-01 06:50:02,TRUE,NA,"1112608038656061441",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","glossyco",1,FALSE,FALSE,NA,NA
"279","Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie Aina https://t.co/5gKEyX0gmx",FALSE,0,NA,2019-04-01 06:09:22,FALSE,NA,"1112597805628092421",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","alluretrends",0,FALSE,FALSE,NA,NA
"280","@laurrrelyse Thankyou!
My first thought was literally how is Aquarius NOT Milk makeup.
We're quirky asff",FALSE,2,"laurrrelyse",2019-04-01 05:58:44,FALSE,"1112488390451175426","1112595131138539520","816489010373783552","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Liimonfu1",0,FALSE,FALSE,NA,NA
"281","Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie Aina https://t.co/rZ1hTJZmkz",FALSE,0,NA,2019-04-01 04:32:56,FALSE,NA,"1112573538165313538",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","alluretrends",0,FALSE,FALSE,NA,NA
"282","@JeremiahTaylorr @thenewyorkina @Hannah_May47 I really stan Milk makeup tho",FALSE,1,"JeremiahTaylorr",2019-04-01 04:02:56,FALSE,"1112527332324114434","1112565985645486080","887592392","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","addy839",0,FALSE,FALSE,NA,NA
"283","- exfoliate lips using toothbrush / this gets rid of dead skin easier
- use unscented lip products / the scents can… https://t.co/RW6tA0Ww7i",FALSE,1,"giulian20626564",2019-04-01 03:04:30,TRUE,"1112551277752471552","1112551280529018880","1080648749301620736","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","giulian20626564",0,FALSE,FALSE,NA,NA
"284","@spicy_like_milk IS A FUCKING QUEEN THAT LITERALLY PULLS OFF EVERY SINGLE THING SHE WEARS, HER MAKEUP SLAYS, IS SUC… https://t.co/wBTbvUq9GH",FALSE,4,"spicy_like_milk",2019-04-01 02:45:54,TRUE,NA,"1112546602240147459","721801502373720064","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EfieSolorzano",0,FALSE,FALSE,NA,NA
"285","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-04-01 02:39:48,FALSE,NA,"1112545064738160642",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hernandezkyla3",9,TRUE,FALSE,NA,NA
"286","#SkincareSunday: Take the day… and your eye makeup away with Coconut Milk Eye Makeup Remover. Simply squeeze a pear… https://t.co/NaYL7HeBS4",FALSE,14,NA,2019-04-01 02:05:04,TRUE,NA,"1112536325817880576",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","PFCosmetics",1,FALSE,FALSE,NA,NA
"287","@alyssercalds lmfao love u sis go get that makeup! we don’t even have milk in australia :(",FALSE,1,"alyssercalds",2019-04-01 01:25:03,FALSE,"1112519778369826817","1112526253733494784","134015651","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blossuchu",0,FALSE,FALSE,NA,NA
"288","if anyone wants to buy me Milk Makeup products, Clarins moisturiser and Urban Decay Perversion mascara lmk. u won’t… https://t.co/i0cKXskqqP",FALSE,2,NA,2019-04-01 00:22:17,TRUE,NA,"1112510457607122946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heebiejeebies00",0,FALSE,FALSE,NA,NA
"289","@blossuchu Whoah!! That's why your skin looks so soft &amp; smooth 💕 thanks tho! Milk makeup just got launched in 2016… https://t.co/Q8jvPlZbAC",FALSE,2,"blossuchu",2019-04-01 00:07:48,TRUE,"1112444644946657280","1112506815302950913","405344941","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyssercalds",0,FALSE,FALSE,NA,NA
"290","What makeup brand are you based on your sign:

Aries - colourpop
Taurus - Urban Decay
Gemini - Too faced 
Cancer -… https://t.co/4kXtAu3f3W",FALSE,3,NA,2019-03-31 23:51:24,TRUE,NA,"1112502688351166464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kimsantos0530",0,FALSE,FALSE,NA,NA
"291","@devilsgutz Bc the chemical makeup for each respective milk is different 🗿 L",FALSE,0,"devilsgutz",2019-03-31 23:30:18,FALSE,"1112365799749095426","1112497378844704768","961269925368205313","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","illummibratty",0,FALSE,FALSE,NA,NA
"292","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-03-31 22:54:51,FALSE,NA,"1112488455131455488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hannajoycaampu2",9,TRUE,FALSE,NA,NA
"293","@RudyGiuliani This is a more realistic version of you , without 1/4” of makeup on you hiding the FACT you are aging… https://t.co/CTO0lDh9Zg",FALSE,0,"RudyGiuliani",2019-03-31 22:43:19,TRUE,"1112450010346676225","1112485554636099584","770781940341288960","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CwazyGTC4Lusso",0,FALSE,FALSE,NA,NA
"294","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-03-31 22:18:48,FALSE,NA,"1112479382650523648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2002Lanze",9,TRUE,FALSE,NA,NA
"295","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-03-31 22:08:51,FALSE,NA,"1112476878978215936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsjaeleatulal1",9,TRUE,FALSE,NA,NA
"296","RT @__Hyungwonho__: Go 

10 pts - 18+ 🔞
10 pts - kpop Stan 🎧
10 pts - multi 💜
10 pts - tattoos 💉
10 pts - Asian food 🥘 
10 pts - art 🖼 
10…",FALSE,0,NA,2019-03-31 22:08:21,FALSE,NA,"1112476753224704008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Im_Like_TT",1,TRUE,FALSE,NA,NA
"297","does milk makeup really smell like playdoh or is someone online being dramatic",FALSE,0,NA,2019-03-31 22:01:25,FALSE,NA,"1112475006863396871",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qr_ce",0,FALSE,FALSE,NA,NA
"298","Get ready to glow with this tend. #milkjelly "" https://t.co/vLCuEPnOuy",FALSE,0,NA,2019-03-31 22:00:00,FALSE,NA,"1112474652641845253",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","StyleSalute_com",0,FALSE,FALSE,NA,NA
"299","Go 

10 pts - 18+ 🔞
10 pts - kpop Stan 🎧
10 pts - multi 💜
10 pts - tattoos 💉
10 pts - Asian food 🥘 
10 pts - art 🖼… https://t.co/8yKGQODSio",FALSE,4,NA,2019-03-31 21:52:56,TRUE,NA,"1112472872344264704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__Hyungwonho__",1,FALSE,FALSE,NA,NA
"300","My only complaint about milk makeup products is that they are not scented which is probably way better but I’m a du… https://t.co/HVMWOEiR5R",FALSE,0,NA,2019-03-31 20:49:01,TRUE,NA,"1112456788580823040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trashcanpapi",0,FALSE,FALSE,NA,NA
"301","@alyssercalds not makeup but i have a goat milk moisturizer that’s really soft and supple 😊",FALSE,1,"alyssercalds",2019-03-31 20:00:46,FALSE,"1112213327730495489","1112444644946657280","134015651","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blossuchu",0,FALSE,FALSE,NA,NA
"302","Got the Milk makeup hydro grip primer and wow I love her so far",FALSE,4,NA,2019-03-31 19:33:17,FALSE,NA,"1112437728564731904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurajdarling",0,FALSE,FALSE,NA,NA
"303","#Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie Aina - https://t.co/otPx9qDHSl via @jackieaina",FALSE,0,NA,2019-03-31 19:33:06,FALSE,NA,"1112437682431541248",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","nicrendesigns",0,FALSE,FALSE,NA,NA
"304","Visit @Sephora’s @MilkMakeup event, Apr 6, 12PM – 5PM, to try out the new #HydroGrip Primer and more with a complim… https://t.co/05bYT0Xtuj",FALSE,0,NA,2019-03-31 18:12:02,TRUE,NA,"1112417283547250694",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ShopCommons",0,FALSE,FALSE,NA,NA
"305","If you like MILK makeup, or have ever wanted to try their stuff, go check out my Snapchat! ( cl-turnbull16) I am se… https://t.co/WjxnPk61bx",FALSE,0,NA,2019-03-31 17:38:57,TRUE,NA,"1112408955450462209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlenderPunk",0,FALSE,FALSE,NA,NA
"306","RT @KYtipuneros: Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon
-
Makeu…",FALSE,0,NA,2019-03-31 14:59:29,FALSE,NA,"1112368827122106369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maemaenarciso",9,TRUE,FALSE,NA,NA
"307","@allanaramaa Allana I watched your video when you used the milk makeup hydrogrip primer, would you still recommend… https://t.co/BRboAlGsXv",FALSE,0,"allanaramaa",2019-03-31 14:50:20,TRUE,NA,"1112366524243894272","1352644746","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","faraaaaaah6",0,FALSE,FALSE,NA,NA
"308","Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie ... https://t.co/sCpftYM5LY via @YouTube",FALSE,1,NA,2019-03-31 14:09:09,FALSE,NA,"1112356158113755136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xrizztina",0,FALSE,FALSE,NA,NA
"309","blk + milk makeup arghh i want",FALSE,7,NA,2019-03-31 13:10:12,FALSE,NA,"1112341322289963009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dianpatacsil",0,FALSE,FALSE,NA,NA
"310","Serving you cupcake, milk tea, and pudding realness. 🧁🥛🍵🍮
-
Kyline Alcantara | @2002kyline
#makeupbyrodolfositchon… https://t.co/Vv8aNKbwch",FALSE,34,NA,2019-03-31 12:43:03,TRUE,NA,"1112334490632777728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KYtipuneros",9,FALSE,FALSE,NA,NA
"311","RT @littlemissmel12: Looking for some Milk Makeup recommendations please 🍒",FALSE,0,NA,2019-03-31 12:12:07,FALSE,NA,"1112326707581800448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littlemissmel12",1,TRUE,FALSE,NA,NA
"312","i want to try the milk makeup sobrang useful for everyday lang hahaha",FALSE,0,NA,2019-03-31 11:18:47,FALSE,NA,"1112313286375030784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pancakies_",0,FALSE,FALSE,NA,NA
